"Reference","Quantity","Value","Footprint","LCSC Part","DNP"
"C1, C2, C3, C4, C7, C10, C11, C36, C37, C38","10","10u","stdpads:C_0805","C15850",""
"C5, C6, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C39, C40, C42, C43, C44, C45","32","2u2","stdpads:C_0603","C23630",""
"C8, C9, C41","3","22p","stdpads:C_0603","C1653",""
"D1","1","Amber","stdpads:LED_0805","C284932",""
"FID1, FID2, FID3, FID4, FID5","5","Fiducial","stdpads:Fiducial","",""
"H1","1","~","stdpads:PasteHole_1.1mm_PTH","",""
"H2, H3, H4, H5","4","~","stdpads:PasteHole_1.152mm_NPTH","",""
"J1","1","AppleIIBus","stdpads:AppleIIBus_Edge","",""
"J2","1","microUSB","stdpads:USB_Micro-B_Amphenol_10118192-0001","C132564",""
"J3","1","Flash","stdpads:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","",""
"J4","1","JTAG","stdpads:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","",""
"R1","1","0","stdpads:R_0805","C17477",""
"R2, R5, R9, R10, R11, R13, R21, R22","8","47","stdpads:R_0603","C23182",""
"R3, R7, R8, R12, R18, R19","6","DNP","stdpads:R_0603","",""
"R4, R6, R17, R25, R26, R27","6","10k","stdpads:R_0603","C25804",""
"R14, R15, R16, R23, R24","5","3k3","stdpads:R_0603","C22978",""
"R20","1","220","stdpads:R_0805","C17557",""
"SW1","1","FW","stdpads:SW_DIP_SPSTx03_Slide_DSHP03TS_P1.27mm","C319051",""
"U1","1","LCMXO2-640HC-4TG100C","stdpads:TQFP-100_14x14mm_P0.5mm","C1519051",""
"U2","1","W9825G6KH-6","stdpads:TSOP-II-54_22.2x10.16mm_P0.8mm","C62246",""
"U3","1","W25Q128JVSIQ","stdpads:SOIC-8_5.3mm","C97521",""
"U4, U5, U6, U9","4","74LVC245APW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C6082",""
"U7","1","CH340G","stdpads:SOIC-16_3.9mm","C14267",""
"U8","1","XC6206P332MR","stdpads:SOT-23","C5446",""
"U10","1","DNP","stdpads:SOT-23-5","",""
"U11, U14","2","74AHCT1G125GW","stdpads:SOT-353","C12495",""
"U12","1","74AHCT245PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C173388",""
"U13","1","DNP","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","",""
"Y1","1","12M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002",""
