Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","10u","C_0805",136.310000,-128.270000,180.000000,top
"C2","10u","C_0805",119.976000,-128.270000,180.000000,top
"C3","10u","C_0805",116.244000,-128.270000,0.000000,top
"C4","10u","C_0805",75.350000,-128.270000,180.000000,top
"C5","2u2","C_0603",113.650000,-90.750000,180.000000,top
"C6","2u2","C_0603",51.650000,-97.750000,90.000000,top
"C7","10u","C_0805",140.100000,-124.200000,90.000000,top
"C8","22p","C_0603",51.199400,-92.600600,90.000000,top
"C9","22p","C_0603",54.650000,-90.000600,180.000000,top
"C10","10u","C_0805",132.750000,-124.200000,90.000000,top
"C11","10u","C_0805",130.350000,-124.200000,90.000000,top
"C12","2u2","C_0603",123.650000,-90.750000,180.000000,top
"C13","2u2","C_0603",76.600000,-119.800000,-90.000000,top
"C14","2u2","C_0603",85.800000,-119.800000,-90.000000,top
"C15","2u2","C_0603",95.000000,-119.800000,-90.000000,top
"C16","2u2","C_0603",104.200000,-119.800000,-90.000000,top
"C17","2u2","C_0603",58.293000,-93.484000,90.000000,top
"C18","2u2","C_0603",82.800000,-103.650000,90.000000,top
"C19","2u2","C_0603",84.300000,-108.150000,-90.000000,top
"C20","2u2","C_0603",103.800000,-94.650000,90.000000,top
"C21","2u2","C_0603",90.300000,-111.150000,0.000000,top
"C22","2u2","C_0603",98.800000,-111.150000,180.000000,top
"C23","2u2","C_0603",103.800000,-107.650000,-90.000000,top
"C24","2u2","C_0603",103.800000,-97.650000,-90.000000,top
"C25","2u2","C_0603",97.800000,-91.650000,180.000000,top
"C26","2u2","C_0603",89.300000,-91.650000,0.000000,top
"C27","2u2","C_0603",84.300000,-97.150000,90.000000,top
"C28","2u2","C_0603",123.650000,-115.350000,180.000000,top
"C29","2u2","C_0603",126.450000,-112.600000,-90.000000,top
"C30","2u2","C_0603",126.450000,-107.800000,-90.000000,top
"C31","2u2","C_0603",126.450000,-103.800000,-90.000000,top
"C32","2u2","C_0603",126.450000,-93.400000,-90.000000,top
"C33","2u2","C_0603",110.800000,-104.050000,90.000000,top
"C34","2u2","C_0603",110.850000,-108.700000,90.000000,top
"C35","2u2","C_0603",113.650000,-115.350000,180.000000,top
"C36","10u","C_0805",140.100000,-119.550000,90.000000,top
"C37","10u","C_0805",132.750000,-119.550000,90.000000,top
"C38","10u","C_0805",130.350000,-119.550000,90.000000,top
"C39","2u2","C_0603",116.500000,-121.600000,90.000000,top
